,FileHeader: Filename,Date,Time,Row,Type,Identifier 1,Identifier 2,Amount,Sample Dilution,Peak Nr.,Component,Rt,Amt%,Ampl. 28,Ampl. 29,Area 28,Area 29,d 15N/14N,Ampl. 44,Ampl. 45,Ampl. 46,Area 44,Area 45,Area 46,Area All,d 13C/12C,Peak Nr. Flash TCD,Rt Flash TCD,rArea Flash TCD,Amt% Flash TCD,Element Type,Datetime,Seconds Since Start,d 15N/14N_corr,d 15N/14N_se,d 13C/12C_corr,d 13C/12C_se
112,22732_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,13:49:50,13,Reference,ACETANILIDE,STANDARD,0.00081,0.0,3.0,N2,159.3,10.32,5346.0,3924.0,137.283,1.007,-0.935,,,,,,,138.29,,,,,,Nitrogen,2024-11-21 13:49:50,9288.0,-1.3350678079175968,0.22052368315559462,,
132,22735_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:17:37,16,Start Reference Regression,ACETANILIDE,STANDARD,0.00061,0.0,3.0,N2,158.6,10.32,3420.0,2511.0,88.12,0.646,-0.975,,,,,,,88.766,,,,,,Nitrogen,2024-11-21 14:17:37,10955.0,-1.3602920098030609,0.21609608254936202,,
140,22736_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:26:53,17,Add Reference Regression,ACETANILIDE,STANDARD,0.00094,0.0,3.0,N2,158.4,10.32,5759.0,4228.0,145.465,1.067,-0.975,,,,,,,146.532,,,,,,Nitrogen,2024-11-21 14:26:53,11511.0,-1.355363789196173,0.21463670389191064,,
141,22736_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:26:53,17,Add Reference Regression,ACETANILIDE,STANDARD,0.00094,89.0,4.0,CO2,273.0,71.06,,,,,,7837.0,9109.0,11251.0,213.733,2.472,0.921,217.126,-29.146,,,,,Carbon,2024-11-21 14:26:53,11511.0,,,-29.25127912052049,0.08426149506371923
148,22737_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:36:08,18,Add Reference Regression,ACETANILIDE,STANDARD,0.00085,0.0,3.0,N2,158.4,10.32,5280.0,3876.0,133.878,0.982,-0.944,,,,,,,134.86,,,,,,Nitrogen,2024-11-21 14:36:08,12066.0,-1.3194444322954126,0.21318891459565553,,
149,22737_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:36:08,18,Add Reference Regression,ACETANILIDE,STANDARD,0.00085,89.0,4.0,CO2,273.6,71.06,,,,,,7228.0,8396.0,10375.0,196.217,2.27,0.845,199.332,-29.18,,,,,Carbon,2024-11-21 14:36:08,12066.0,,,-29.283676253518767,0.08363641933214964
156,22738_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:45:24,19,Add Reference Regression,ACETANILIDE,STANDARD,0.00071,0.0,3.0,N2,158.6,10.32,4663.0,3423.0,118.728,0.871,-0.957,,,,,,,119.598,,,,,,Nitrogen,2024-11-21 14:45:24,12622.0,-1.327516211688525,0.21174768183597592,,
157,22738_d15N-d13C_ACETANILIDE-0000.dxf,11/21/2024,14:45:24,19,Add Reference Regression,ACETANILIDE,STANDARD,0.00071,89.0,4.0,CO2,274.8,71.06,,,,,,6426.0,7459.0,9226.0,173.594,2.008,0.748,176.35,-29.257,,,,,Carbon,2024-11-21 14:45:24,12622.0,,,-29.359070498468395,0.08301522198077269
164,22739_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,14:54:40,20,Sample,SORGHUM,STANDARD,0.00166,0.0,3.0,N2,159.5,1.846181,1628.0,1199.0,41.867,0.308,1.743,,,,,,,42.175,,,,,,Nitrogen,2024-11-21 14:54:40,13178.0,1.377412008918363,0.21031581096639226,,
165,22739_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,14:54:40,20,Sample,SORGHUM,STANDARD,0.00166,89.0,4.0,CO2,272.1,30.8771889,,,,,,8870.0,10443.0,12730.0,245.955,2.881,1.059,249.895,-14.709,,,,,Carbon,2024-11-21 14:54:40,13178.0,,,-14.80946474341802,0.08239914699864052
172,22740_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,15:03:56,21,Sample,SORGHUM,SAMPLE,0.00169,0.0,3.0,N2,158.6,1.8357521,1664.0,1225.0,42.41,0.312,1.102,,,,,,,42.722,,,,,,Nitrogen,2024-11-21 15:03:56,13734.0,0.7413402295252507,0.20889349450162012,,
173,22740_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,15:03:56,21,Sample,SORGHUM,SAMPLE,0.00169,89.0,4.0,CO2,271.1,30.8929679,,,,,,8953.0,10541.0,12847.0,246.508,2.887,1.061,250.456,-14.365,,,,,Carbon,2024-11-21 15:03:56,13734.0,,,-14.463858988367647,0.08178831013942632
180,22741_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,15:13:11,22,Sample,SORGHUM,SAMPLE,0.00187,0.0,3.0,N2,159.5,1.6820939,1676.0,1235.0,43.03,0.317,1.248,,,,,,,43.347,,,,,,Nitrogen,2024-11-21 15:13:11,14289.0,0.892259586426011,0.20748346064613454,,
181,22741_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,15:13:11,22,Sample,SORGHUM,SAMPLE,0.00187,89.0,4.0,CO2,271.5,33.9919363,,,,,,9100.0,10707.0,13059.0,252.731,2.959,1.088,256.777,-14.448,,,,,Carbon,2024-11-21 15:13:11,14289.0,,,-14.545256121365927,0.08118391375514393
188,22742_d15N-d13C_WHEAT FLOUR-0000.dxf,11/21/2024,15:22:27,23,Sample,WHEAT FLOUR,SAMPLE,0.0019,0.0,3.0,N2,159.0,2.0034996,2067.0,1527.0,52.671,0.389,4.765,,,,,,,53.06,,,,,,Nitrogen,2024-11-21 15:22:27,14845.0,4.414187807032898,0.2060808284056917,,
189,22742_d15N-d13C_WHEAT FLOUR-0000.dxf,11/21/2024,15:22:27,23,Sample,WHEAT FLOUR,SAMPLE,0.0019,89.0,4.0,CO2,271.3,31.048594,,,,,,9072.0,10542.0,13020.0,250.334,2.893,1.078,254.305,-27.346,,,,,Carbon,2024-11-21 15:22:27,14845.0,,,-27.441650366315553,0.08058390039707647
196,22743_d15N-d13C_BL SEDIMENT-0000.dxf,11/21/2024,15:31:43,24,Sample,BL SEDIMENT,SAMPLE,0.0092,0.0,3.0,N2,158.6,0.7560045,4070.0,3002.0,102.28,0.754,3.286,,,,,,,103.035,,,,,,Nitrogen,2024-11-21 15:31:43,15401.0,2.940116027639786,0.2046883517793863,,
197,22743_d15N-d13C_BL SEDIMENT-0000.dxf,11/21/2024,15:31:43,24,Sample,BL SEDIMENT,SAMPLE,0.0092,89.0,4.0,CO2,271.7,7.0365146,,,,,,9109.0,10568.0,13073.0,253.381,2.925,1.091,257.396,-28.632,,,,,Carbon,2024-11-21 15:31:43,15401.0,,,-28.72604461126518,0.07998948716914023
204,22744_d15N-d13C_MJS-24-006_Swamp Milkweed; leaf (F1)-0000.dxf,11/21/2024,16:15:22,25,Sample,MJS-24-006_Swamp Milkweed; leaf (F1),SAMPLE,0.00265,0.0,3.0,N2,157.2,4.4712176,8199.0,6076.0,198.36,1.469,8.519,,,,,,,199.829,,,,,,Nitrogen,2024-11-21 16:15:22,18020.0,8.1963300739877,0.19827216523152677,,
205,22744_d15N-d13C_MJS-24-006_Swamp Milkweed; leaf (F1)-0000.dxf,11/21/2024,16:15:22,25,Sample,MJS-24-006_Swamp Milkweed; leaf (F1),SAMPLE,0.00265,89.0,4.0,CO2,264.4,177.3810301,,,,,,13094.0,15195.0,18790.0,367.265,4.232,1.581,373.078,-31.201,,,,,Carbon,2024-11-21 16:15:22,18020.0,,,-31.287480811846248,0.07726871628668075
212,22745_d15N-d13C_MJS-24-006_Northern Pondweed; leaf (F2)-0000.dxf,11/21/2024,16:24:39,26,Sample,MJS-24-006_Northern Pondweed; leaf (F2),SAMPLE,0.00264,0.0,3.0,N2,157.0,4.4978778,8154.0,6085.0,198.953,1.484,15.58,,,,,,,200.436,,,,,,Nitrogen,2024-11-21 16:24:39,18577.0,15.262267158300714,0.1969394226341464,,
213,22745_d15N-d13C_MJS-24-006_Northern Pondweed; leaf (F2)-0000.dxf,11/21/2024,16:24:39,26,Sample,MJS-24-006_Northern Pondweed; leaf (F2),SAMPLE,0.00264,89.0,4.0,CO2,264.6,170.8117494,,,,,,12903.0,15075.0,18509.0,363.514,4.217,1.564,369.296,-24.11,,,,,Carbon,2024-11-21 16:24:39,18577.0,,,-24.194872168747224,0.0767077666462558
221,22746_d15N-d13C_MJS-24-005_Maple; leaf (F3)-0000.dxf,11/21/2024,16:33:55,27,Sample,MJS-24-005_Maple; leaf (F3),SAMPLE,0.0028,0.0,3.0,N2,158.2,2.413868,3943.0,2913.0,98.978,0.731,5.562,,,,,,,99.709,,,,,,Nitrogen,2024-11-21 16:33:55,19133.0,5.249195378907602,0.1956207195019897,,
222,22746_d15N-d13C_MJS-24-005_Maple; leaf (F3)-0000.dxf,11/21/2024,16:33:55,27,Sample,MJS-24-005_Maple; leaf (F3),SAMPLE,0.0028,89.0,4.0,CO2,263.3,338.8137283,,,,,,14990.0,17413.0,21497.0,443.505,5.116,1.908,450.529,-29.869,,,,,Carbon,2024-11-21 16:33:55,19133.0,,,-29.952266413696847,0.07615432250609475
229,22747_d15N-d13C_MJS-24-005_Water Moss; all (F4)-0000.dxf,11/21/2024,16:43:11,28,Sample,MJS-24-005_Water Moss; all (F4),SAMPLE,0.00258,0.0,3.0,N2,157.2,2.3187445,3496.0,2609.0,86.213,0.644,16.421,,,,,,,86.857,,,,,,Nitrogen,2024-11-21 16:43:11,19689.0,16.113123599514488,0.19431388970577193,,
230,22747_d15N-d13C_MJS-24-005_Water Moss; all (F4)-0000.dxf,11/21/2024,16:43:11,28,Sample,MJS-24-005_Water Moss; all (F4),SAMPLE,0.00258,89.0,4.0,CO2,266.3,56.2326957,,,,,,10536.0,12104.0,15113.0,286.779,3.275,1.234,291.288,-39.269,,,,,Carbon,2024-11-21 16:43:11,19689.0,,,-39.350660658646476,0.07560751359911895
237,22748_d15N-d13C_MJS-24-005_Black Walnut; leaf (F5)-0000.dxf,11/21/2024,16:52:27,29,Sample,MJS-24-005_Black Walnut; leaf (F5),SAMPLE,0.00259,0.0,3.0,N2,157.8,2.2653746,3380.0,2499.0,84.367,0.625,7.19,,,,,,,84.992,,,,,,Nitrogen,2024-11-21 16:52:27,20245.0,6.8870518201213775,0.1930191744097028,,
238,22748_d15N-d13C_MJS-24-005_Black Walnut; leaf (F5)-0000.dxf,11/21/2024,16:52:27,29,Sample,MJS-24-005_Black Walnut; leaf (F5),SAMPLE,0.00259,89.0,4.0,CO2,264.8,194.2845912,,,,,,13173.0,15254.0,18893.0,373.555,4.295,1.607,379.457,-31.972,,,,,Carbon,2024-11-21 16:52:27,20245.0,,,-32.0520549035961,0.0750674849231839
245,22749_d15N-d13C_MJS-24-005_Riverbank Grape; leaf (F6)-0000.dxf,11/21/2024,17:01:43,30,Sample,MJS-24-005_Riverbank Grape; leaf (F6),SAMPLE,0.00263,0.0,3.0,N2,157.6,2.5556084,3992.0,2951.0,98.348,0.727,5.878,,,,,,,99.076,,,,,,Nitrogen,2024-11-21 17:01:43,20801.0,5.579980040728265,0.19173681902578132,,
246,22749_d15N-d13C_MJS-24-005_Riverbank Grape; leaf (F6)-0000.dxf,11/21/2024,17:01:43,30,Sample,MJS-24-005_Riverbank Grape; leaf (F6),SAMPLE,0.00263,89.0,4.0,CO2,263.8,253.437385,,,,,,13920.0,16164.0,19958.0,401.846,4.632,1.728,408.206,-29.384,,,,,Carbon,2024-11-21 17:01:43,20801.0,,,-29.46244914854573,0.07453438385414303
253,22750_d15N-d13C_MJS-24-005_Curly-leaf Pondweed; leaf (F7)-0000.dxf,11/21/2024,17:10:59,31,Sample,MJS-24-005_Curly-leaf Pondweed; leaf (F7),SAMPLE,0.00291,0.0,3.0,N2,158.8,3.1285628,5485.0,4092.0,140.717,1.051,15.529,,,,,,,141.767,,,,,,Nitrogen,2024-11-21 17:10:59,21357.0,15.235908261335153,0.19046707320046885,,
254,22750_d15N-d13C_MJS-24-005_Curly-leaf Pondweed; leaf (F7)-0000.dxf,11/21/2024,17:10:59,31,Sample,MJS-24-005_Curly-leaf Pondweed; leaf (F7),SAMPLE,0.00291,89.0,4.0,CO2,264.0,187.5231567,,,,,,13486.0,15669.0,19333.0,381.299,4.398,1.64,387.337,-28.492,,,,,Carbon,2024-11-21 17:10:59,21357.0,,,-28.568843393495357,0.07400836009609893
261,22751_d15N-d13C_MJS-24-005_Silky Dogwood; leaf (F8)-0000.dxf,11/21/2024,17:20:15,32,Sample,MJS-24-005_Silky Dogwood; leaf (F8),SAMPLE,0.00268,0.0,3.0,N2,158.2,2.1500412,3267.0,2427.0,82.679,0.615,11.743,,,,,,,83.294,,,,,,Nitrogen,2024-11-21 17:20:15,21913.0,11.45483648194204,0.18921019079342924,,
262,22751_d15N-d13C_MJS-24-005_Silky Dogwood; leaf (F8)-0000.dxf,11/21/2024,17:20:15,32,Sample,MJS-24-005_Silky Dogwood; leaf (F8),SAMPLE,0.00268,89.0,4.0,CO2,264.2,332.9568582,,,,,,14716.0,17052.0,21093.0,435.755,5.012,1.873,442.64,-31.292,,,,,Carbon,2024-11-21 17:20:15,21913.0,,,-31.367237638444983,0.07348956562318062
269,22752_d15N-d13C_MJS-24-010_Northern White Cedar; leaf (F9)-0000.dxf,11/21/2024,17:29:31,33,Sample,MJS-24-010_Northern White Cedar; leaf (F9),SAMPLE,0.00286,0.0,3.0,N2,157.8,1.3005838,2042.0,1503.0,51.39,0.379,2.895,,,,,,,51.769,,,,,,Nitrogen,2024-11-21 17:29:31,22469.0,2.6117647025489283,0.18796642984779122,,
270,22752_d15N-d13C_MJS-24-010_Northern White Cedar; leaf (F9)-0000.dxf,11/21/2024,17:29:31,33,Sample,MJS-24-010_Northern White Cedar; leaf (F9),SAMPLE,0.00286,89.0,4.0,CO2,262.3,378.438077,,,,,,15575.0,18084.0,22317.0,461.056,5.312,1.982,468.35,-29.344,,,,,Carbon,2024-11-21 17:29:31,22469.0,,,-29.417631883394613,0.07297815461236677
277,22753_d15N-d13C_MJS-24-010_Giant Goldenrod; leaf (F10)-0000.dxf,11/21/2024,17:38:47,34,Sample,MJS-24-010_Giant Goldenrod; leaf (F10),SAMPLE,0.0028,0.0,3.0,N2,157.6,1.9392601,3160.0,2330.0,77.413,0.572,4.167,,,,,,,77.984,,,,,,Nitrogen,2024-11-21 17:38:47,23025.0,3.8886929231558156,0.1867360525513724,,
278,22753_d15N-d13C_MJS-24-010_Giant Goldenrod; leaf (F10)-0000.dxf,11/21/2024,17:38:47,34,Sample,MJS-24-010_Giant Goldenrod; leaf (F10),SAMPLE,0.0028,89.0,4.0,CO2,262.5,282.9445819,,,,,,14727.0,17048.0,21098.0,421.339,4.84,1.811,427.989,-32.533,,,,,Carbon,2024-11-21 17:38:47,23025.0,,,-32.605026128344235,0.07247428336687475
285,22754_d15N-d13C_MJS-24-010_Colts Foot; leaf (F11)-0000.dxf,11/21/2024,17:48:04,35,Sample,MJS-24-010_Colts Foot; leaf (F11),SAMPLE,0.0026,0.0,3.0,N2,157.2,3.9906633,6819.0,5034.0,165.954,1.226,4.367,,,,,,,167.179,,,,,,Nitrogen,2024-11-21 17:48:04,23582.0,4.093630007468832,0.18551714928882276,,
286,22754_d15N-d13C_MJS-24-010_Colts Foot; leaf (F11)-0000.dxf,11/21/2024,17:48:04,35,Sample,MJS-24-010_Colts Foot; leaf (F11),SAMPLE,0.0026,89.0,4.0,CO2,264.0,194.5994109,,,,,,13226.0,15276.0,18946.0,374.082,4.289,1.608,379.979,-34.421,,,,,Carbon,2024-11-21 17:48:04,23582.0,,,-34.491417485245215,0.0719772248631948
293,22755_d15N-d13C_MJS-24-010_Eastern Hemlock; leaf (F12)-0000.dxf,11/21/2024,17:57:20,36,Sample,MJS-24-010_Eastern Hemlock; leaf (F12),SAMPLE,0.0028,0.0,3.0,N2,157.8,1.5264795,2383.0,1755.0,59.635,0.44,3.105,,,,,,,60.075,,,,,,Nitrogen,2024-11-21 17:57:20,24138.0,2.8365582280757193,0.18431436746326935,,
294,22755_d15N-d13C_MJS-24-010_Eastern Hemlock; leaf (F12)-0000.dxf,11/21/2024,17:57:20,36,Sample,MJS-24-010_Eastern Hemlock; leaf (F12),SAMPLE,0.0028,89.0,4.0,CO2,262.7,320.2006978,,,,,,14863.0,17192.0,21284.0,436.358,5.009,1.875,443.241,-33.305,,,,,Carbon,2024-11-21 17:57:20,24138.0,,,-33.37381173019484,0.07148892439930703
302,22756_d15N-d13C_SORGHUM-0000.dxf,11/21/2024,18:06:36,37,Sample,SORGHUM,STANDARD,0.00182,89.0,4.0,CO2,268.1,32.4966936,,,,,,9234.0,10851.0,13230.0,250.386,2.927,1.076,254.389,-14.324,,,,,Carbon,2024-11-21 18:06:36,24694.0,,,-14.391205975144468,0.07100864474347879
309,22757_d15N-d13C_WHEAT FLOUR-0000.dxf,11/21/2024,18:15:52,38,Sample,WHEAT FLOUR,STANDARD,0.00208,0.0,3.0,N2,157.6,2.0619577,2393.0,1773.0,59.853,0.444,9.174,,,,,,,60.298,,,,,,Nitrogen,2024-11-21 18:15:52,25250.0,8.915414669289493,0.18195166712335809,,
310,22757_d15N-d13C_WHEAT FLOUR-0000.dxf,11/21/2024,18:15:52,38,Sample,WHEAT FLOUR,STANDARD,0.00208,89.0,4.0,CO2,266.9,59.4529139,,,,,,10193.0,11833.0,14600.0,279.027,3.221,1.199,283.447,-27.465,,,,,Carbon,2024-11-21 18:15:52,25250.0,,,-27.530600220094094,0.07053654973568052
317,22758_d15N-d13C_MJS-24-010_Riparian Grass; leaf (G1)-0000.dxf,11/21/2024,18:25:08,39,Sample,MJS-24-010_Riparian Grass; leaf (G1),SAMPLE,0.00288,0.0,3.0,N2,157.6,1.0475827,1667.0,1231.0,41.182,0.305,5.599,,,,,,,41.486,,,,,,Nitrogen,2024-11-21 18:25:08,25806.0,5.345342889896383,0.18079230877285626,,
318,22758_d15N-d13C_MJS-24-010_Riparian Grass; leaf (G1)-0000.dxf,11/21/2024,18:25:08,39,Sample,MJS-24-010_Riparian Grass; leaf (G1),SAMPLE,0.00288,89.0,4.0,CO2,264.0,256.5311772,,,,,,14252.0,16474.0,20405.0,413.27,4.742,1.775,419.787,-33.75,,,,,Carbon,2024-11-21 18:25:08,25806.0,,,-33.81399446504372,0.07007280480111738
325,22759_d15N-d13C_MJS-24-010_Curly-leaf Pondweed; leaf (G2)-0000.dxf,11/21/2024,18:34:25,40,Sample,MJS-24-010_Curly-leaf Pondweed; leaf (G2),SAMPLE,0.0029,0.0,3.0,N2,157.8,2.0179631,3422.0,2522.0,84.125,0.621,3.7,,,,,,,84.745,,,,,,Nitrogen,2024-11-21 18:34:25,26363.0,3.451279974209398,0.1796459468954873,,
